Group,Call,Supported,Difficulty,Notes
general,MPI_Abort,NO,easy,comm_translation
osc,MPI_Accumulate,NO,easy,reduce on windows
errors,MPI_Add_error_class,-,,
errors,MPI_Add_error_code,-,,
errors,MPI_Add_error_string,-,,
collective,MPI_Allgather,NO,medium,gather + broadcast
async,MPI_Iallgather,NO,medium,request handling
collective,MPI_Allgatherv,NO,hard,gatherv + broadcast
async,MPI_Iallgatherv,NO,hard,request handling
osc,MPI_Alloc_mem,-,,
collective,MPI_Allreduce,YES,,
async,MPI_Iallreduce,NO,medium,request handling
collective,MPI_Alltoall,NO,medium,gather-like
async,MPI_Ialltoall,NO,medium,request handling
collective,MPI_Alltoallv,NO,hard,gatherv-like
async,MPI_Ialltoallv,NO,hard,request handling
collective,MPI_Alltoallw,NO,hard,more complex than gatherv
async,MPI_Ialltoallw,NO,hard,request handling
collective,MPI_Barrier,YES,,
async,MPI_Ibarrier,NO,medium,request handling
collective,MPI_Bcast,YES,,
ptp,MPI_Bsend,NO,easy,like send
async,MPI_Ibcast,NO,medium,request handling
?,MPI_Ibsend_init,NO,?,?
general,MPI_Buffer_attach,-,,
general,MPI_Buffer_detach,-,,
async,MPI_Cancel,NO,medium,request handling
topo,MPI_Cart_coords,NO,?,
topo,MPI_Cart_create,NO,?,
topo,MPI_Cart_get,NO,?,
topo,MPI_Cart_map,NO,?,
topo,MPI_Cart_rank,NO,?,
topo,MPI_Cart_shift,NO,?,
topo,MPI_Cart_sub,NO,?,
topo,MPI_Cartdim_get,NO,?,
intercom,MPI_Close_port,NO,?,
intercom,MPI_Comm_accept,NO,?,
fortran,MPI_Comm_c2f,-,,
errors,MPI_Comm_call_errhandler,NO,?,errorhandler usage shall be wrapped
comm,MPI_Comm_compare,NO,medium,handling alias between comm
intercom,MPI_Comm_connect,NO,?,
errors,MPI_Comm_create_errhandler,NO,?,errorhandler usage shall be wrapped
attr,MPI_Comm_create_keyval,-,,
comm,MPI_Comm_create_group,NO,medium,manage strange collectivity
comm,MPI_Comm_create,YES,,
attr,MPI_Comm_delete_attr,-,,
